"State","Tested","Infected","Deaths","ICU Beds","Age 0-25","Age 26-54","Age 55+","Obesity Rate","Population","Health Expen"
"Alabama","1356420",194892,2973,1533,"0.33","0.37","0.31","36.1",4934193,7281
"Alaska","620170",17057,84,119,"0.36","0.39","0.25","30.5",724357,11064
"Arizona","1792602",248139,5982,1559,"0.33","0.36","0.3","31.4",7520103,6452
"Arkansas","1363429",113641,1985,732,"0.34","0.37","0.3","37.4",3033946,7408
"California","18912501",930628,17672,7338,"0.33","0.4","0.26","26.3",39613493,7549
"Colorado","2034795",109910,2105,1597,"0.33","0.4","0.27","23.8",5893634,6804
"Connecticut","2367994",73858,4627,674,"0.3","0.38","0.32","29.1",3552821,9859
"Delaware","565983",25311,710,186,"0.3","0.37","0.33","34.4",990334,10254
"Florida","10126764",801371,17043,5604,"0.29","0.37","0.35","27.0",21944577,8076
"Georgia","3596700",362921,7999,2508,"0.35","0.39","0.26","33.1",10830007,6587
"Hawaii","533672",15367,219,201,"0.3","0.37","0.32","25.0",1406430,7299
"Idaho","387935",65088,630,314,"0.36","0.36","0.28","29.5",1860123,6927
"Illinois","7882680",429761,10093,3144,"0.33","0.38","0.28","31.6",12569321,8262
"Indiana","2970330",185185,4390,1861,"0.34","0.37","0.29","35.3",6805663,8300
"Iowa","900994",123372,1741,545,"0.34","0.36","0.3","33.9",3167974,8200
"Kansas","655267",89227,1046,767,"0.35","0.36","0.29","35.2",2917224,7651
"Kentucky","1926140",109670,1492,1392,"0.33","0.38","0.3","36.5",4480713,8004
"Louisiana","2788484",187995,5934,1289,"0.34","0.37","0.28","35.9",4627002,7815
"Maine","644435",6799,148,256,"0.26","0.37","0.37","31.7",1354522,9531
"Maryland","3479230",146995,4155,1134,"0.31","0.39","0.29","32.3",6065436,8602
"Massachusetts","6217043",160549,10023,1326,"0.3","0.39","0.31","25.2",6912239,10559
"Michigan","5008299",204326,7716,2423,"0.32","0.37","0.31","36.0",9992427,8055
"Minnesota","2872763",153620,2484,1171,"0.32","0.38","0.3","30.1",5706398,8871
"Mississippi","958073",120865,3348,824,"0.35","0.36","0.29","40.8",2966407,7646
"Missouri","2553774",188186,3031,1888,"0.33","0.37","0.31","34.8",6169038,8107
"Montana","508931",34252,386,165,"0.31","0.35","0.34","28.3",1085004,8221
"Nebraska","950497",71666,654,440,"0.35","0.37","0.29","34.1",1951996,8412
"Nevada","1270643",102114,1784,900,"0.32","0.4","0.29","30.6",3185786,6714
"New Hampshire","626532",11320,483,242,"0.28","0.37","0.34","31.8",1372203,9589
"New Jersey","4721797",240997,16357,1822,"0.31","0.38","0.3","27.3",8874520,8859
"New Mexico","1182514",47232,1026,340,"0.33","0.36","0.31","31.7",2105005,7214
"New York","14772754",511368,25838,3952,"0.31","0.39","0.3","27.1",19299981,9778
"North Carolina","4127596",278028,4390,2227,"0.32","0.38","0.29","34.0",10701022,7264
"North Dakota","848765",46015,417,238,"0.35","0.37","0.28","34.8",770026,9851
"Ohio","4564903",221909,5340,3314,"0.32","0.37","0.31","34.8",11714618,8712
"Oklahoma","1619827",125195,1354,1064,"0.35","0.37","0.29","36.8",3990443,7627
"Oregon","871900",45978,692,659,"0.3","0.39","0.31","29.0",4289439,8044
"Pennsylvania","2550660",211996,8823,3169,"0.3","0.37","0.32","33.2",12804123,9258
"Rhode Island","1158387",34120,1210,279,"0.29","0.39","0.32","30.0",1061509,9551
"South Carolina","1842038",178917,3946,1225,"0.32","0.36","0.32","35.4",5277830,7311
"South Dakota","263127",47850,438,152,"0.35","0.35","0.3","33.0",896581,8933
"Tennessee","3720657",264587,3379,2209,"0.33","0.38","0.29","36.5",6944260,7372
"Texas","8291703",909257,18097,6199,"0.36","0.39","0.24","34.0",29730311,6998
"Utah","1410145",117706,614,565,"0.42","0.37","0.21","29.2",3310774,5982
"Vermont","415518",2219,58,94,"0.27","0.36","0.36","26.6",623251,10190
"Virginia","2663155",183418,3658,1654,"0.33","0.38","0.29","31.9",8603985,7556
"Washington","2469146",108315,2366,1265,"0.31","0.4","0.29","28.3",7796941,7913
"West Virginia","794491",25235,458,653,"0.29","0.36","0.35","39.7",1767859,9462
"Wisconsin","3327915",244928,2113,1159,"0.32","0.37","0.31","34.2",5852490,8702
"Wyoming","134018",14167,87,102,"0.32","0.36","0.31","29.7",581075,8320
