"State","obesityRate","Pop"
"Colorado","23.8000","5893634"
"Hawaii","25","1406430"
"Massachusetts","25.2000","6912239"
"California","26.3000","39613493"
"Vermont","26.6000","623251"
"Florida","27","21944577"
"New York","27.1000","19299981"
"New Jersey","27.3000","8874520"
"Montana","28.3000","1085004"
"Washington","28.3000","7796941"
"Oregon","29","4289439"
"Connecticut","29.1000","3552821"
"Utah","29.2000","3310774"
"Idaho","29.5000","1860123"
"Wyoming","29.7000","581075"
"Rhode Island","30","1061509"
"Minnesota","30.1000","5706398"
"Alaska","30.5000","724357"
"Nevada","30.6000","3185786"
"Arizona","31.4000","7520103"
"Illinois","31.6000","12569321"
"Maine","31.7000","1354522"
"New Mexico","31.7000","2105005"
"New Hampshire","31.8000","1372203"
"Virginia","31.9000","8603985"
"Maryland","32.3000","6065436"
"South Dakota","33","896581"
"Georgia","33.1000","10830007"
"Pennsylvania","33.2000","12804123"
"Iowa","33.9000","3167974"
"North Carolina","34","10701022"
"Texas","34","29730311"
"Nebraska","34.1000","1951996"
"Wisconsin","34.2000","5852490"
"Delaware","34.4000","990334"
"Missouri","34.8000","6169038"
"North Dakota","34.8000","770026"
"Ohio","34.8000","11714618"
"Kansas","35.2000","2917224"
"Indiana","35.3000","6805663"
"South Carolina","35.4000","5277830"
"Louisiana","35.9000","4627002"
"Michigan","36","9992427"
"Alabama","36.1000","4934193"
"Kentucky","36.5000","4480713"
"Tennessee","36.5000","6944260"
"Oklahoma","36.8000","3990443"
"Arkansas","37.4000","3033946"
"West Virginia","39.7000","1767859"
"Mississippi","40.8000","2966407"
