,id,State,City,2019_population
0,1,Alabama,Alabama,4903185
1,1,Alabama,Autauga County,55869
2,1,Alabama,Baldwin County,223234
3,1,Alabama,Barbour County,24686
4,1,Alabama,Bibb County,22394
5,1,Alabama,Blount County,57826
6,1,Alabama,Bullock County,10101
7,1,Alabama,Butler County,19448
8,1,Alabama,Calhoun County,113605
9,1,Alabama,Chambers County,33254
10,1,Alabama,Cherokee County,26196
11,1,Alabama,Chilton County,44428
12,1,Alabama,Choctaw County,12589
13,1,Alabama,Clarke County,23622
14,1,Alabama,Clay County,13235
15,1,Alabama,Cleburne County,14910
16,1,Alabama,Coffee County,52342
17,1,Alabama,Colbert County,55241
18,1,Alabama,Conecuh County,12067
19,1,Alabama,Coosa County,10663
20,1,Alabama,Covington County,37049
21,1,Alabama,Crenshaw County,13772
22,1,Alabama,Cullman County,83768
23,1,Alabama,Dale County,49172
24,1,Alabama,Dallas County,37196
25,1,Alabama,DeKalb County,71513
26,1,Alabama,Elmore County,81209
27,1,Alabama,Escambia County,36633
28,1,Alabama,Etowah County,102268
29,1,Alabama,Fayette County,16302
30,1,Alabama,Franklin County,31362
31,1,Alabama,Geneva County,26271
32,1,Alabama,Greene County,8111
33,1,Alabama,Hale County,14651
34,1,Alabama,Henry County,17205
35,1,Alabama,Houston County,105882
36,1,Alabama,Jackson County,51626
37,1,Alabama,Jefferson County,658573
38,1,Alabama,Lamar County,13805
39,1,Alabama,Lauderdale County,92729
40,1,Alabama,Lawrence County,32924
41,1,Alabama,Lee County,164542
42,1,Alabama,Limestone County,98915
43,1,Alabama,Lowndes County,9726
44,1,Alabama,Macon County,18068
45,1,Alabama,Madison County,372909
46,1,Alabama,Marengo County,18863
47,1,Alabama,Marion County,29709
48,1,Alabama,Marshall County,96774
49,1,Alabama,Mobile County,413210
50,1,Alabama,Monroe County,20733
51,1,Alabama,Montgomery County,226486
52,1,Alabama,Morgan County,119679
53,1,Alabama,Perry County,8923
54,1,Alabama,Pickens County,19930
55,1,Alabama,Pike County,33114
56,1,Alabama,Randolph County,22722
57,1,Alabama,Russell County,57961
58,1,Alabama,St. Clair County,89512
59,1,Alabama,Shelby County,217702
60,1,Alabama,Sumter County,12427
61,1,Alabama,Talladega County,79978
62,1,Alabama,Tallapoosa County,40367
63,1,Alabama,Tuscaloosa County,209355
64,1,Alabama,Walker County,63521
65,1,Alabama,Washington County,16326
66,1,Alabama,Wilcox County,10373
67,1,Alabama,Winston County,23629
68,2,Alaska,Alaska,731545
69,2,Alaska,Aleutians East Borough,3337
70,2,Alaska,Aleutians West Census Area,5634
71,2,Alaska,Anchorage Municipality,288000
72,2,Alaska,Bethel Census Area,18386
73,2,Alaska,Bristol Bay Borough,836
74,2,Alaska,Denali Borough,2097
75,2,Alaska,Dillingham Census Area,4916
76,2,Alaska,Fairbanks North Star Borough,96849
77,2,Alaska,Haines Borough,2530
