,Region,Country,State,City,Month,Day,Year,AvgTemperature
1460121,North America,US,Alabama,Birmingham,1,1,2020,44.4
1460122,North America,US,Alabama,Birmingham,1,2,2020,51.3
1460123,North America,US,Alabama,Birmingham,1,3,2020,60.4
1460124,North America,US,Alabama,Birmingham,1,4,2020,54.6
1460125,North America,US,Alabama,Birmingham,1,5,2020,40.9
1460126,North America,US,Alabama,Birmingham,1,6,2020,49.5
1460127,North America,US,Alabama,Birmingham,1,7,2020,54.7
1460128,North America,US,Alabama,Birmingham,1,8,2020,44.9
1460129,North America,US,Alabama,Birmingham,1,9,2020,47.9
1460130,North America,US,Alabama,Birmingham,1,10,2020,64.2
1460131,North America,US,Alabama,Birmingham,1,11,2020,68.0
1460132,North America,US,Alabama,Birmingham,1,12,2020,55.6
1460133,North America,US,Alabama,Birmingham,1,13,2020,60.4
1460134,North America,US,Alabama,Birmingham,1,14,2020,64.4
1460135,North America,US,Alabama,Birmingham,1,15,2020,63.0
1460136,North America,US,Alabama,Birmingham,1,16,2020,61.9
1460137,North America,US,Alabama,Birmingham,1,17,2020,53.9
1460138,North America,US,Alabama,Birmingham,1,18,2020,53.9
1460139,North America,US,Alabama,Birmingham,1,19,2020,47.5
1460140,North America,US,Alabama,Birmingham,1,20,2020,31.0
1460141,North America,US,Alabama,Birmingham,1,21,2020,28.9
1460142,North America,US,Alabama,Birmingham,1,22,2020,35.4
1460143,North America,US,Alabama,Birmingham,1,23,2020,43.0
1460144,North America,US,Alabama,Birmingham,1,24,2020,51.3
1460145,North America,US,Alabama,Birmingham,1,25,2020,41.8
1460146,North America,US,Alabama,Birmingham,1,26,2020,42.8
1460147,North America,US,Alabama,Birmingham,1,27,2020,49.7
1460148,North America,US,Alabama,Birmingham,1,28,2020,40.9
1460149,North America,US,Alabama,Birmingham,1,29,2020,51.3
1460150,North America,US,Alabama,Birmingham,1,30,2020,47.8
1460151,North America,US,Alabama,Birmingham,1,31,2020,50.0
1460152,North America,US,Alabama,Birmingham,2,1,2020,47.7
1460153,North America,US,Alabama,Birmingham,2,2,2020,47.9
1460154,North America,US,Alabama,Birmingham,2,3,2020,59.8
1460155,North America,US,Alabama,Birmingham,2,4,2020,63.8
1460156,North America,US,Alabama,Birmingham,2,5,2020,66.8
1460157,North America,US,Alabama,Birmingham,2,6,2020,58.2
1460158,North America,US,Alabama,Birmingham,2,7,2020,40.6
1460159,North America,US,Alabama,Birmingham,2,8,2020,45.8
1460160,North America,US,Alabama,Birmingham,2,9,2020,46.6
1460161,North America,US,Alabama,Birmingham,2,10,2020,57.5
1460162,North America,US,Alabama,Birmingham,2,11,2020,59.3
1460163,North America,US,Alabama,Birmingham,2,12,2020,58.1
1460164,North America,US,Alabama,Birmingham,2,13,2020,57.7
1460165,North America,US,Alabama,Birmingham,2,14,2020,40.1
1460166,North America,US,Alabama,Birmingham,2,15,2020,40.9
1460167,North America,US,Alabama,Birmingham,2,16,2020,51.1
1460168,North America,US,Alabama,Birmingham,2,17,2020,50.8
1460169,North America,US,Alabama,Birmingham,2,18,2020,60.1
1460170,North America,US,Alabama,Birmingham,2,19,2020,53.2
1460171,North America,US,Alabama,Birmingham,2,20,2020,47.3
1460172,North America,US,Alabama,Birmingham,2,21,2020,37.7
1460173,North America,US,Alabama,Birmingham,2,22,2020,39.2
1460174,North America,US,Alabama,Birmingham,2,23,2020,45.7
1460175,North America,US,Alabama,Birmingham,2,24,2020,49.1
1460176,North America,US,Alabama,Birmingham,2,25,2020,57.5
1460177,North America,US,Alabama,Birmingham,2,26,2020,47.2
1460178,North America,US,Alabama,Birmingham,2,27,2020,40.1
1460179,North America,US,Alabama,Birmingham,2,28,2020,42.4
1460180,North America,US,Alabama,Birmingham,2,29,2020,47.2
1460181,North America,US,Alabama,Birmingham,3,1,2020,51.6
1460182,North America,US,Alabama,Birmingham,3,2,2020,57.5
1460183,North America,US,Alabama,Birmingham,3,3,2020,66.0
1460184,North America,US,Alabama,Birmingham,3,4,2020,57.9
1460185,North America,US,Alabama,Birmingham,3,5,2020,52.9
1460186,North America,US,Alabama,Birmingham,3,6,2020,50.4
1460187,North America,US,Alabama,Birmingham,3,7,2020,45.3
1460188,North America,US,Alabama,Birmingham,3,8,2020,51.8
1460189,North America,US,Alabama,Birmingham,3,9,2020,59.4
1460190,North America,US,Alabama,Birmingham,3,10,2020,64.6
1460191,North America,US,Alabama,Birmingham,3,11,2020,64.7
1460192,North America,US,Alabama,Birmingham,3,12,2020,68.7
1460193,North America,US,Alabama,Birmingham,3,13,2020,67.3
1460194,North America,US,Alabama,Birmingham,3,14,2020,65.7
1460195,North America,US,Alabama,Birmingham,3,15,2020,63.7
1460196,North America,US,Alabama,Birmingham,3,16,2020,58.9
1460197,North America,US,Alabama,Birmingham,3,17,2020,67.2
1460198,North America,US,Alabama,Birmingham,3,18,2020,69.2
1460199,North America,US,Alabama,Birmingham,3,19,2020,72.8
1460200,North America,US,Alabama,Birmingham,3,20,2020,72.2
1460201,North America,US,Alabama,Birmingham,3,21,2020,60.3
1460202,North America,US,Alabama,Birmingham,3,22,2020,53.4
1460203,North America,US,Alabama,Birmingham,3,23,2020,65.1
1460204,North America,US,Alabama,Birmingham,3,24,2020,68.7
1460205,North America,US,Alabama,Birmingham,3,25,2020,67.4
1460206,North America,US,Alabama,Birmingham,3,26,2020,65.8
1460207,North America,US,Alabama,Birmingham,3,27,2020,75.2
1460208,North America,US,Alabama,Birmingham,3,28,2020,75.2
1460209,North America,US,Alabama,Birmingham,3,29,2020,72.6
1460210,North America,US,Alabama,Birmingham,3,30,2020,66.0
1460211,North America,US,Alabama,Birmingham,3,31,2020,57.4
1460212,North America,US,Alabama,Birmingham,4,1,2020,52.5
1460213,North America,US,Alabama,Birmingham,4,2,2020,56.3
1460214,North America,US,Alabama,Birmingham,4,3,2020,60.6
1460215,North America,US,Alabama,Birmingham,4,4,2020,65.1
1460216,North America,US,Alabama,Birmingham,4,5,2020,69.8
1460217,North America,US,Alabama,Birmingham,4,6,2020,69.8
1460218,North America,US,Alabama,Birmingham,4,7,2020,67.8
1460219,North America,US,Alabama,Birmingham,4,8,2020,70.3
1460220,North America,US,Alabama,Birmingham,4,9,2020,70.6
1460221,North America,US,Alabama,Birmingham,4,10,2020,58.1
1460222,North America,US,Alabama,Birmingham,4,11,2020,54.0
1460223,North America,US,Alabama,Birmingham,4,12,2020,63.0
1460224,North America,US,Alabama,Birmingham,4,13,2020,63.0
1460225,North America,US,Alabama,Birmingham,4,14,2020,53.2
1460226,North America,US,Alabama,Birmingham,4,15,2020,49.5
1460227,North America,US,Alabama,Birmingham,4,16,2020,52.6
1460228,North America,US,Alabama,Birmingham,4,17,2020,61.3
1460229,North America,US,Alabama,Birmingham,4,18,2020,62.4
1460230,North America,US,Alabama,Birmingham,4,19,2020,54.8
1460231,North America,US,Alabama,Birmingham,4,20,2020,62.9
1460232,North America,US,Alabama,Birmingham,4,21,2020,62.3
1460233,North America,US,Alabama,Birmingham,4,22,2020,58.2
1460234,North America,US,Alabama,Birmingham,4,23,2020,61.6
1460235,North America,US,Alabama,Birmingham,4,24,2020,65.6
1460236,North America,US,Alabama,Birmingham,4,25,2020,67.1
1460237,North America,US,Alabama,Birmingham,4,26,2020,60.8
1460238,North America,US,Alabama,Birmingham,4,27,2020,57.6
1460239,North America,US,Alabama,Birmingham,4,28,2020,64.9
1460240,North America,US,Alabama,Birmingham,4,29,2020,68.5
1460241,North America,US,Alabama,Birmingham,4,30,2020,61.2
1460242,North America,US,Alabama,Birmingham,5,1,2020,61.7
1460243,North America,US,Alabama,Birmingham,5,2,2020,67.4
1460244,North America,US,Alabama,Birmingham,5,3,2020,73.0
1460245,North America,US,Alabama,Birmingham,5,4,2020,75.0
1460246,North America,US,Alabama,Birmingham,5,5,2020,73.9
1460247,North America,US,Alabama,Birmingham,5,6,2020,65.0
1460248,North America,US,Alabama,Birmingham,5,7,2020,55.8
1460249,North America,US,Alabama,Birmingham,5,8,2020,58.1
1460250,North America,US,Alabama,Birmingham,5,9,2020,54.4
1460251,North America,US,Alabama,Birmingham,5,10,2020,57.1
1460252,North America,US,Alabama,Birmingham,5,11,2020,59.5
1460253,North America,US,Alabama,Birmingham,5,12,2020,61.6
1460254,North America,US,Alabama,Birmingham,5,13,2020,64.7
1469386,North America,US,Alabama,Huntsville,1,1,2020,40.8
1469387,North America,US,Alabama,Huntsville,1,2,2020,47.9
